Thesis #,Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Label,Keywords,
TD-00047,"Rajanandhini, G.",2008,Use of butyrylcholiesterase activity as a non-destructive biomarker in assessing the impact of monocrotophos in Blue Rock Pigeon Columba livia,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Sri Krishna Arts and Science College, Coimbatore",,M.Sc.,TD-00047,Doves & Pigeons,
,Columba livia,,,,,,,,,,
,Columbidae,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Enzyme activity,,,,,,,,,,
,Lethal dosage,,,,,,,,,,
TD-00048,"Rahman, F. M. R.",2008,Acetylcholinesterase as a biomarker in assesssing the impact of monocrotophos in Blue Rock Pigeon Columba livia,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"PSG College of Arts and Science,Coimbatore",,M.Sc.,TD-00048,Doves & Pigeons,
,Columba livia,,,,,,,,,,
,Columbidae,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Enzyme activity,,,,,,,,,,
,Lethal dosage,,,,,,,,,,
TD-00049,"Maharajan, K.",2012,Physico-chemical characters of waters and the avifauna of Coimbatore municipal wetlands,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00049,Wetland birds,
,Western Ghats (Central),,,,,,,,,,
,Wetlands,,,,,,,,,,
,Water quality parameters,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Habitat degradation,,,,,,,,,,
TD-00050,"Danieal, A. A.",2014,"Brain B-esterase activities as biomarkers of cholinesterase inhibiting pesticides in select species of birds from Ahmedabad, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00050,Landbirds,
,Gujarat Rajputana,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Pesticide contamination,,,,,,,,,,
,Bioindicators,,,,,,,,,,
,Enzyme activity,,,,,,,,,,
TD-00051,"Gayathri, V.",2014,"Heavy metals in the waterfowl in Nalabana Bird Sanctuary, Chilka lake, Odisha",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathidasan University, Trichirappalli",,M.Sc.,TD-00051,Waterfowl,
,Eastern Plains,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Heavy metal contamination,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Life-history parameters,,,,,,,,,,
TD-00052,"Indumathi, G.",2016,"Level of polycyclic aromatic hydrocarbons in select species of birds from Ahmedabad, Gujarat",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Vivekanandha College of Arts and Sciences for Women, Thiruchengode",,M.Sc.,TD-00052,Landbirds,
,Gujarat Rajputana,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Organic contaminants,,,,,,,,,,
,Bio-accumulation,,,,,,,,,,
,QuEChERS extraction,,,,,,,,,,
TD-00053,"Selvamurugan, S.",2016,"Levels of copper and zinc in feathers of select species of birds from Ahmedabad, Gujarat",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00053,Landbirds,
,Gujarat Rajputana,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Metal contamination,,,,,,,,,,
,Bio-accumulation,,,,,,,,,,
,AAS techniques,,,,,,,,,,
,Bird feathers,,,,,,,,,,
,Feather moulting,,,,,,,,,,
TD-00054,"Grubh, R. B.",1974,The birds of Gir forest: The ecology and behaviour of vultures in Gir forest,,,"University of Bombay, Bombay",,Ph.D.,TD-00054,Raptors,
,Vultures,,,,,,,,,,
,Accipitridae,,,,,,,,,,
,Gyps bengalensis,,,,,,,,,,
,Gyps indicus,,,,,,,,,,
,Gyps fulvus,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Kathiawar Peninsula,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Dry Savannah forests,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Ecological balance,,,,,,,,,,
,Plumage characteristics,,,,,,,,,,
,Food availability,,,,,,,,,,
,Scavengers,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Captive birds,,,,,,,,,,
TD-00055,"Khan, M. A. R.",1977,Ecological problems relating to birds: Ecology and behaviour of the Black-and-orange Flycatcher Muscicapa nigrorufa (Jerdon),,,"University of Bombay, Bombay",,Ph.D.,TD-00055,Flycatchers,
,Muscicapidae,,,,,,,,,,
,Muscicapa nigrorufa,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Evergreen forests,,,,,,,,,,
,Shola forests,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Territorial behaviour,,,,,,,,,,
,Bird call,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
,Plumage characteristics,,,,,,,,,,
TD-00056,"Zacharias, V. J.",1978,Ecology and biology of certain species of Indian Babblers (Turdoides spp.) in Malabar,,,"Calicut University, Calicut",,Ph.D.,TD-00056,Babblers,
,Turdoides affinis,,,,,,,,,,
,Turdoides striatus,,,,,,,,,,
,Turdoides subrufus,,,,,,,,,,
,Leiothrichidae,,,,,,,,,,
,Western Ghats (South),,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat selection,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Niche overlap,,,,,,,,,,
,Morphology,,,,,,,,,,
,Mixed species flocks,,,,,,,,,,
,Sentinel behaviour,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Breeding biology,,,,,,,,,,
TD-00057,"Davidar, P.",1979,Synecological studies on the specialised nectar-feeding birds and bird-flowers in the Nilgiris,,,"University of Bombay, Bombay",,Ph.D.,TD-00057,Landbirds,
,Nectarivores,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Montane forests,,,,,,,,,,
,Shola forests,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Nectarivory,,,,,,,,,,
,Plant-bird interactions,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Competition,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Bird pollination,,,,,,,,,,
TD-00058,"Vijayan, L.",1984,"Comparative biology of Drongos (Family Dicruridae, Class Aves) with special reference to ecological isolation",,,"Bombay University, Bombay",,Ph.D.,TD-00058,Drongos,
,Dicruridae,,,,,,,,,,
,Western Ghats (South),,,,,,,,,,
,Semi-evergreen forests,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Competition,,,,,,,,,,
,Gause's hypothesis,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Prey selection,,,,,,,,,,
,Breeding biology,,,,,,,,,,
TD-00059,"Islam, M. A.",1985,Ecology of the laughing thrushes of India with special reference to the endemic species,,,"University of Bombay, Bombay",,Ph.D.,TD-00059,Laughingthrushes,
,Leiothrichidae,,,,,,,,,,
,Garrulax cachinnans,,,,,,,,,,
,Garrulax jerdoni,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Evergreen forests,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Endemic species,,,,,,,,,,
,Avian Vocalization,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Territorial behaviour,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Nesting biology,,,,,,,,,,
TD-00060,"Rao, P.",1988,Bird communities of the tropical dry-evergreen forests of Sriharikota,,,"University of Bombay, Bombay",,Ph.D.,TD-00060,Landbirds,
,Coromandel coast,,,,,,,,,,
,Coastal forests,,,,,,,,,,
,Dry evergreen forests,,,,,,,,,,
,Mixed forests ,,,,,,,,,,
,Plantation forests,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Community composition,,,,,,,,,,
,Vegetation composition,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Migration,,,,,,,,,,
TD-00061,"Prakash, V.",1988,"The general ecology of raptors (Families Accipitridae, Strigidae, Class Aves) in Keoladeo National Park, Bharatpur",,,"University of Bombay, Bombay",,Ph.D.,TD-00061,Raptors,
,Accipitridae,,,,,,,,,,
,Strigidae,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Forests,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Prey selection,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
,Breeding biology,,,,,,,,,,
TD-00062,"Sridharan, U.",1989,"Comparative ecology of resident ducks in Keoladeo National Park, Bharatpur, Rajasthan",,,"University of Bombay, Bombay",,Ph.D.,TD-00062,Wetland birds,
,Ducks,,,,,,,,,,
,Anatidae,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Floating vegetation,,,,,,,,,,
,Niche overlap,,,,,,,,,,
TD-00063,"Nalavade, S.",2014,Conservation and sustainable management of avifaunal diversity in northern Western Ghats India,Department of Geography,,"Tilak Maharashtra Vidyapeeth, Pune",,Ph.D.,TD-00063,Landbirds,
,Waterbirds,,,,,,,,,,
,Western Ghats (north),,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Evergreen forest,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Bird density,,,,,,,,,,
,Species richness,,,,,,,,,,
,Population density,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Conservation strategy,,,,,,,,,,
,Eco-spots,,,,,,,,,,
TD-00064,"Natarajan, V.",1990,"The ecology of the Southern Crow-pheasant Centropus sinensis parroti Stresemann (Aves: Cuculidae) at Point Calimere, Tamil Nadu",,,"University of Bombay, Bombay",,Ph.D.,TD-00064,Coucals,
,Cuculidae,,,,,,,,,,
,Centropus sinensis,,,,,,,,,,
,Coromandel Plains  ,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Woodlands,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Species richness,,,,,,,,,,
,Biometrics,,,,,,,,,,
,Avian vocalization,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Predation,,,,,,,,,,
TD-00065,"Satheesan, S. M.",1990,Ecology and behaviour of the Pariah Kite Milvus migrans govinda (Sykes) as a problem bird at some Indian aerodromes,,,"University of Bombay, Bombay",,Ph.D.,TD-00065,Raptors,
,Milvus migrans,,,,,,,,,,
,Accipitridae,,,,,,,,,,
,Upper Gangetic Plains,,,,,,,,,,
,Coromandel Plains,,,,,,,,,,
,Woodlands,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Bird collision,,,,,,,,,,
,Aircraft hazards,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
TD-00066,"Balasubramanian, P.",1990,Plant-animal inter-relations at Point Calimere Sanctuary,,,"University of Bombay, Bombay",,Ph.D.,TD-00066,Landbirds,
,Coromandel Plains,,,,,,,,,,
,Dry evergreen forests,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Habitat selection,,,,,,,,,,
,Plant-bird interactions,,,,,,,,,,
,Vegetation,,,,,,,,,,
,Frugivores,,,,,,,,,,
,Frugivory,,,,,,,,,,
,Fruit characteristics,,,,,,,,,,
,Fruit traits,,,,,,,,,,
,Seed germination,,,,,,,,,,
TD-00067,"Sundaramoorthy, T.",1991,"Ecology of terrestrial birds in Keoladeo National Park, Bharatpur",,,"University of Bombay, Bombay",,Ph.D.,TD-00067,Landbirds,
,Gujarat Rajputana,,,,,,,,,,
,Savanna woodland,,,,,,,,,,
,Savanna grassland,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species richness,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Vegetation composition,,,,,,,,,,
,Competition,,,,,,,,,,
,Dominant species,,,,,,,,,,
,Breeding seasonality,,,,,,,,,,
TD-00068,"Sankaran, R.",1991,Some aspects of the breeding behaviour of the Lesser Florican Sypheotides indica (J.F. Miller) and the Bengal Florican Houbaropsis bengalensis (Gmelin),,,"University of Bombay, Bombay",,Ph.D.,TD-00068,Bustards,
,Sypheotides indica,,,,,,,,,,
,Houbaropsis bengalensis,,,,,,,,,,
,Otididae,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Deccan Plateau,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Prey selection,,,,,,,,,,
,Breeding habitat,,,,,,,,,,
,Territorial behaviour,,,,,,,,,,
,Courtship behaviour,,,,,,,,,,
,Sexual dimorphism,,,,,,,,,,
TD-00069,"Manakadan, R.",1992,Ecology of waterbirds of Point Calimere Sanctuary with special reference to the impact of salt works,,,"University of Bombay, Bombay",,Ph.D.,TD-00069,Waterbirds,
,Coastal birds,,,,,,,,,,
,Coromandel Coast,,,,,,,,,,
,Swamps,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Community composition,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Species richness,,,,,,,,,,
,Salt pans,,,,,,,,,,
,Microhabitat characteristics,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Anthropogenic disturbance,,,,,,,,,,
TD-00070,"Narayan, G.",1992,"Ecology, distribution and conservation of the Bengal Florican Houbaropsis bengalensis (Gmelin)",,,"University of Bombay, Bombay",,Ph.D.,TD-00070,Bustards,
,Houbaropsis bengalensis,,,,,,,,,,
,Otididae,,,,,,,,,,
,North-eastern Hills,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Vegetation composition,,,,,,,,,,
,Morphology,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Courtship behaviour,,,,,,,,,,
TD-00071,"Ramachandran, N. K.",1993,"The comparative ecology of the Pheasant-tailed and Bronze-winged Jacanas in Keoladeo National Park, Bharatpur, Rajasthan",,,"University of Bombay, Bombay",,Ph.D.,TD-00071,Jacanas,
,Metopidius indicus,,,,,,,,,,
,Hydrophasianus chirurgus,,,,,,,,,,
,Jacanidae,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Swamps,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Habitat selection,,,,,,,,,,
,Floating vegetation,,,,,,,,,,
,Microhabitat characteristics,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Climatic perturbation,,,,,,,,,,
,Indicator species,,,,,,,,,,
,Breeding biology,,,,,,,,,,
TD-00072,"Kannan, R.",1994,Ecology and conservation of the Great Pied Hornbill (Buceros bicornis) in the Western Ghats of southern India,,,"Arkansas State University, Arkansas, USA",,Ph.D.,TD-00072,Hornbills,
,Buceros bicornis,,,,,,,,,,
,Bucerotidae,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Evergreen forests,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Fruiting phenology,,,,,,,,,,
,Plant-bird interactions,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Frugivory,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Courtship behaviour,,,,,,,,,,
,Grappling,,,,,,,,,,
,Monogamous species,,,,,,,,,,
TD-00073,"Butchart, S.",1994,Sexual conflicts and polyandry in Bronze-winged Jacanas,,,"Cambridge University, London",,Ph.D.,TD-00073,Jacanas,
,Metopidius indicus,,,,,,,,,,
,Jacanidae,,,,,,,,,,
,Deccan Plateau,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Lakes ,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Sexual conflicts,,,,,,,,,,
,Sexual selection,,,,,,,,,,
,Competition,,,,,,,,,,
,Territorial behaviour,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Polyandry,,,,,,,,,,
,Sperm competition,,,,,,,,,,
,Parental care,,,,,,,,,,
TD-00074,"Bhushan, B.",1994,Ornithology of Eastern Ghats,,,"University of Bombay, Bombay",,Ph.D.,TD-00074,Landbirds,
,Rhinoptilus bitorquatus,,,,,,,,,,
,Glareolidae,,,,,,,,,,
,Eastern Ghats (South),,,,,,,,,,
,Moist deciduous forests,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Avian biogeography,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Population structure,,,,,,,,,,
,Species composition,,,,,,,,,,
,Habitat selection,,,,,,,,,,
,Endemic species,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Migration,,,,,,,,,,
,Impact assessment,,,,,,,,,,
,Action plans,,,,,,,,,,
TD-00075,"Nagulu, V.",1994,Feeding and breeding biology of Grey Pelican at Nelapattu Bird sanctuary in Andhra Pradesh,,,"Osmania University, Hyderabad",,Ph.D.,TD-00075,Pelicans,
,Pelecanus philippensis,,,,,,,,,,
,Pelecanidae,,,,,,,,,,
,Coromandel Plains,,,,,,,,,,
,Dry evergreen forests,,,,,,,,,,
,Swamps,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat selection,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Monogamous species,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
,Nestlings,,,,,,,,,,
TD-00076,"Yasmin, S.",1995,Ecology and biology of the  Indian Peafowl Pavo cristatus in the Aligarh region,,,"Aligarh Musliim University, Aligarh",,Ph.D.,TD-00076,Galliformes,
,Pavo cristatus,,,,,,,,,,
,Phasianidae,,,,,,,,,,
,Lower Gangetic Plains,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Microhabitat characteristics,,,,,,,,,,
,Flagship species,,,,,,,,,,
,Population dynamics,,,,,,,,,,
,Avian vocalization,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Minimum Convex Polygon method,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Courtship behaviour,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
TD-00077,"Santharam, V.",1995,"Ecology of sympatric woodpecker species of Western Ghats, India",Salim Ali School of Ecology and Environmental Sciences,Pondicherry,"Pondicherry University, Pondicherry",148,Ph.D.,TD-00077,Woodpeckers,
,Picidae,,,,,,,,,,
,Western Ghats (South),,,,,,,,,,
,Evergreen forests,,,,,,,,,,
,Moist deciduous forests,,,,,,,,,,
,Semi-evergreen forests,,,,,,,,,,
,Community composition,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Foraging ecology,,,,,,,,,,
,Insectivores,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Cavity nesting,,,,,,,,,,
,Nest-site selection,,,,,,,,,,
TD-00078,"Rajan, S. A.",1995,"The avifauna of the tropical dry evergreen forests of Point Calimere Wildlife Sanctuary, Tamil Nadu",,,"University of Bombay, Bombay",,Ph.D.,TD-00078,Landbirds,
,Waterfowl,,,,,,,,,,
,Coromandel Plains,,,,,,,,,,
,Dry evergreen forests,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Community structure,,,,,,,,,,
,Community composition,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Canopy utilization,,,,,,,,,,
,Bird populations,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Migrants,,,,,,,,,,
,Nesting habitats,,,,,,,,,,
,Anthropogenic disturbance,,,,,,,,,,
TD-00079,"Javed, S.",1996,Study on bird community structure of terai forest in Dudhwa National Park,Centre of Wildlife & Ornithology,Aligarh,"Aligarh Muslim University, Aligarh",136,Ph.D.,TD-00079,Landbirds,
,Waterbirds,,,,,,,,,,
,Upper Gangetic Plains,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Semi-evergreen forests,,,,,,,,,,
,Swamps,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Community structure,,,,,,,,,,
,Community composition,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species richness,,,,,,,,,,
,Floristics,,,,,,,,,,
,Microhabitat characteristics,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
,Migrants,,,,,,,,,,
,Bird density,,,,,,,,,,
,Spearman rank correlation,,,,,,,,,,
TD-00080,"Katti, M.",1997,Ecology and evolution of non-breeding distributions in the old world leaf warblers,,,"California State University, Los Angeles",,Ph.D.,TD-00080,Leaf warblers,
,Phylloscopus trochiloides,,,,,,,,,,
,Phylloscopidae,,,,,,,,,,
,Western Ghats (South),,,,,,,,,,
,Semi-evergreen forests,,,,,,,,,,
,Montane forests,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Avian evolution,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Species richness,,,,,,,,,,
,Life-history parameters,,,,,,,,,,
,Bird call,,,,,,,,,,
,Bergmann's rule,,,,,,,,,,
,Competition,,,,,,,,,,
,Migration,,,,,,,,,,
,Breeding biology,,,,,,,,,,
TD-00081,"Akhtar, S. A.",1998,"Wintering ecology of the harriers of Velavadar National Park, Bhavnagar district, Gujarat",,,"University of Mumbai, Mumbai",,Ph.D.,TD-00081,Accipitridae,
,Harriers,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Grasslands ,,,,,,,,,,
,Swamps,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Age structure,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Population dynamics,,,,,,,,,,
,Weed control,,,,,,,,,,
TD-00082,"Maheswaran, G.",1998,"Ecology and behaviour of Blacknecked Stork (Ephippiorhynchus asiaticus, Latham,1790) in Dudhwa National Park, Uttar Pradesh, India",,,"Aligarh Muslim University, Aligarh",,Ph.D.,TD-00082,Storks,
,Ephippiorhynchus asiaticus,,,,,,,,,,
,Ciconiidae,,,,,,,,,,
,Upper Gangetic Plains,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Swamps,,,,,,,,,,
,Marshes,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Behavioural context,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Intra-specific interactions,,,,,,,,,,
,Breeding ecology,,,,,,,,,,
,Territorial behaviour,,,,,,,,,,
